Name: lvs-pussay-b
Location: 48.3394 , 1.9727
Issued: 2020/07/09 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/09 18:00UTC,4.54,273
2020/07/09 21:00UTC,4.97,262
2020/07/10 00:00UTC,3.66,279
2020/07/10 03:00UTC,3.59,277
2020/07/10 06:00UTC,3.36,266
2020/07/10 09:00UTC,4.71,293
2020/07/10 15:00UTC,6.20,338
2020/07/10 18:00UTC,5.52,347
2020/07/10 21:00UTC,4.31,348
2020/07/11 00:00UTC,3.55,347
2020/07/11 03:00UTC,2.68,341
2020/07/11 06:00UTC,1.70,341
2020/07/11 09:00UTC,2.59,3
2020/07/11 12:00UTC,2.33,10
2020/07/11 15:00UTC,3.24,10
2020/07/11 18:00UTC,3.88,357
2020/07/11 21:00UTC,5.08,14
2020/07/12 00:00UTC,4.53,25
2020/07/12 03:00UTC,4.03,30
2020/07/12 06:00UTC,3.17,28
2020/07/12 09:00UTC,3.43,33
2020/07/12 12:00UTC,3.19,30
2020/07/12 15:00UTC,3.63,7
2020/07/12 18:00UTC,3.71,36
2020/07/12 21:00UTC,3.88,40
2020/07/13 00:00UTC,4.26,39
2020/07/13 03:00UTC,3.43,32
2020/07/13 06:00UTC,2.53,26
2020/07/13 09:00UTC,2.00,33
2020/07/13 12:00UTC,1.41,18
2020/07/13 15:00UTC,3.71,311
2020/07/13 18:00UTC,2.90,326
2020/07/13 21:00UTC,4.83,349
2020/07/14 00:00UTC,4.33,347
2020/07/14 03:00UTC,3.22,339
2020/07/14 06:00UTC,2.06,334
2020/07/14 09:00UTC,2.04,320
2020/07/14 12:00UTC,2.22,310
2020/07/14 15:00UTC,4.42,319
2020/07/14 18:00UTC,2.65,339
2020/07/14 21:00UTC,2.87,325
2020/07/15 00:00UTC,3.69,336
2020/07/15 03:00UTC,2.94,334
2020/07/15 09:00UTC,2.12,320
2020/07/15 12:00UTC,2.35,320
2020/07/15 15:00UTC,4.71,347
2020/07/15 18:00UTC,4.12,351
